パート,種類,問題文,選択肢1,選択肢2,選択肢3,選択肢4,正解,解説
単語の意味,4択,third,3日,20日,28日,23日,3日,
単語の意味,4択,second,2日,5日,25日,29日,2日,
単語の意味,4択,English,英語,国語,体育,美術,英語,
単語の意味,4択,eighth,8日,7日,29日,11日,8日,
単語の意味,4択,nine,9,18,80,5,9,
単語の意味,4択,twelve,12,2,50,14,12,
単語の意味,4択,nineteen,19,70,4,5,19,
単語の意味,4択,grapes,ブドウ,モモ,マンゴー,リンゴ,ブドウ,
単語の意味,4択,twenty-one,21,80,30,10,21,
単語の意味,4択,sixteenth,16日,25日,13日,21日,16日,
単語の意味,4択,student,生徒,家,名前,学校,生徒,
単語の意味,4択,father,父,親,母,赤ちゃん,父,
単語の意味,4択,sixth,6日,29日,5日,28日,6日,
単語の意味,4択,twenty-fourth,24日,7日,15日,14日,24日,
単語の意味,4択,Sunday,日曜日,火曜日,土曜日,木曜日,日曜日,
単語の意味,4択,sixty,60,21,15,4,60,
単語の意味,4択,one,1,21,13,1000,1,
単語の意味,4択,shrine,神社,駅,動物園,寺,神社,
単語の意味,4択,fifteen,15,7,19,80,15,
単語の意味,4択,bird,鳥,ウシ,パンダ,ライオン,鳥,
単語の意味,4択,three,3,18,5,2,3,
単語の意味,4択,fish,魚,キリン,ゾウ,パンダ,魚,
単語の意味,4択,tenth,10日,3日,4日,28日,10日,
単語の意味,4択,salad,サラダ,ホットケーキ,ジャム,ピザ,サラダ,
単語の意味,4択,mango,マンゴー,レモン,スイカ,メロン,マンゴー,
単語の意味,4択,twelfth,12日,2日,17日,18日,12日,
単語の意味,4択,whale,クジラ,コアラ,ウマ,魚,クジラ,
単語の意味,4択,baseball,野球,サッカー,バスケットボール,バドミントン,野球,
単語の意味,4択,tennis,テニス,バドミントン,バレーボール,野球,テニス,
単語の意味,4択,cookies,クッキー,サラダ,オムレツ,ホットケーキ,クッキー,
単語の意味,4択,zoo,動物園,城,寺,神社,動物園,
単語の意味,4択,uncle,おじ,いとこ,親,母,おじ,
単語の意味,4択,orange,オレンジ,スイカ,キウイ,イチゴ,オレンジ,
単語の意味,4択,kiwi,キウイ,バナナ,スイカ,レモン,キウイ,
単語の意味,4択,Thursday,木曜日,水曜日,月曜日,金曜日,木曜日,
単語の意味,4択,bookstore,本屋,神社,駅,図書館,本屋,
単語の意味,4択,recorder,リコーダー,ギター,ピアノ,ドラム,リコーダー,
単語の意味,4択,pizza,ピザ,サラダ,ジャム,クッキー,ピザ,
単語の意味,4択,cake,ケーキ,ピザ,クッキー,ジャム,ケーキ,
単語の意味,4択,bitter,苦い,とてもおいしい,すっぱい,甘い,苦い,
単語の意味,4択,panda,パンダ,ブタ,ネコ,イルカ,パンダ,
単語の意味,4択,November,11月,5月,9月,2月,11月,
単語の意味,4択,omelet,オムレツ,ピザ,ホットケーキ,ケーキ,オムレツ,
単語の意味,4択,Monday,月曜日,木曜日,火曜日,土曜日,月曜日,
単語の意味,4択,delicious,とてもおいしい,苦い,すっぱい,甘い,とてもおいしい,
単語の意味,4択,seventh,7日,31日,20日,23日,7日,
単語の意味,4択,fourteen,14,16,5,30,14,
単語の意味,4択,eighteenth,18日,8日,29日,11日,18日,
単語の意味,4択,watermelon,スイカ,メロン,マンゴー,ブドウ,スイカ,
単語の意味,4択,dance,ダンスをする,スケートをする,泳ぐ,スキーをする,ダンスをする,
単語の意味,4択,skate,スケートをする,ダンスをする,スキーをする,泳ぐ,スケートをする,
単語の意味,4択,brave,勇敢な,強い,おだやかな,親切な,勇敢な,
単語の意味,4択,kind,親切な,人なつっこい,勇敢な,強い,親切な,
単語の意味,4択,June,6月,1月,2月,5月,6月,
単語の意味,4択,twenty-third,23日,26日,17日,15日,23日,
単語の意味,4択,castle,城,動物園,駅,本屋,城,
単語の意味,4択,cute,かわいい,わくわくさせる,すばらしい,美しい,かわいい,
単語の意味,4択,eleventh,11日,26日,14日,27日,11日,
単語の意味,4択,music,音楽,国語,英語,体育,音楽,
単語の意味,4択,seventeen,17,1000,90,9,17,
単語の意味,4択,brother,兄・弟,親,姉・妹,赤ちゃん,兄・弟,
単語の意味,4択,clever,かしこい,厳しい,おだやかな,人なつっこい,かしこい,
単語の意味,4択,spring,春,秋,夏,冬,春,
単語の意味,4択,friendly,人なつっこい,親切な,おだやかな,かしこい,人なつっこい,
単語の意味,4択,two,2,17,8,70,2,
単語の意味,4択,frog,カエル,クジラ,ブタ,ネコ,カエル,
単語の意味,4択,soccer,サッカー,バスケットボール,バドミントン,野球,サッカー,
単語の意味,4択,melon,メロン,オレンジ,バナナ,レモン,メロン,
単語の意味,4択,twentieth,20日,11日,16日,27日,20日,
単語の意味,4択,temple,寺,体育館,スーパーマーケット,病院,寺,
単語の意味,4択,fox,キツネ,ゾウ,鳥,ウマ,キツネ,
単語の意味,4択,hospital,病院,スーパーマーケット,動物園,駅,病院,
単語の意味,4択,peach,モモ,リンゴ,パイナップル,メロン,モモ,
単語の意味,4択,sheep,ヒツジ,ウサギ,カメ,イヌ,ヒツジ,
単語の意味,4択,social studies,社会,体育,理科,音楽,社会,
単語の意味,4択,rabbit,ウサギ,ライオン,クジラ,イルカ,ウサギ,
単語の意味,4択,January,1月,3月,4月,9月,1月,
単語の意味,4択,pen,ペン,家,ノート,学校,ペン,
単語の意味,4択,sister,姉・妹,祖父,親,おじ,姉・妹,
単語の意味,4択,math,数学,国語,音楽,美術,数学,
単語の意味,4択,eighteen,18,1,20,4,18,
単語の意味,4択,kangaroo,カンガルー,カメ,キツネ,ネコ,カンガルー,
単語の意味,4択,cloudy,くもりの,寒い,雪の,暖かい,くもりの,
単語の意味,4択,twenty-second,22日,4日,28日,7日,22日,
単語の意味,4択,book,本,生徒,かばん,学校,本,
単語の意味,4択,jam,ジャム,ピザ,サラダ,ケーキ,ジャム,
単語の意味,4択,strawberry,イチゴ,オレンジ,ブドウ,バナナ,イチゴ,
単語の意味,4択,station,駅,本屋,図書館,体育館,駅,
単語の意味,4択,sunny,晴れの,雪の,寒い,雨の,晴れの,
単語の意味,4択,teacher,先生,ペン,ノート,本,先生,
単語の意味,4択,gym,体育館,神社,駅,スーパーマーケット,体育館,
単語の意味,4択,lion,ライオン,キツネ,カンガルー,サル,ライオン,
単語の意味,4択,thirteen,13,4,40,60,13,
単語の意味,4択,forty,40,18,1,14,40,
単語の意味,4択,pancake,ホットケーキ,サラダ,ケーキ,ピザ,ホットケーキ,
単語の意味,4択,thousand,1000,18,21,15,1000,
単語の意味,4択,notebook,ノート,名前,友だち,かばん,ノート,
単語の意味,4択,strict,厳しい,人なつっこい,賢明な,親切な,厳しい,
単語の意味,4択,school,学校,本,友だち,ペン,学校,
単語の意味,4択,fifty,50,3,13,1,50,
単語の意味,4択,wonderful,すばらしい,危険な,おかしい,かわいい,すばらしい,
単語の意味,4択,summer,夏,冬,春,秋,夏,
単語の意味,4択,thirty,30,10,20,11,30,
単語の意味,4択,twenty-first,21日,31日,7日,20日,21日,
単語の意味,4択,lemon,レモン,オレンジ,メロン,モモ,レモン,
単語の意味,4択,Wednesday,水曜日,土曜日,月曜日,火曜日,水曜日,
単語の意味,4択,Japanese,国語,数学,美術,理科,国語,
単語の意味,4択,friend,友だち,本,ペン,生徒,友だち,
単語の意味,4択,banana,バナナ,マンゴー,レモン,イチゴ,バナナ,
単語の意味,4択,thirteenth,13日,15日,27日,26日,13日,
単語の意味,4択,swim,泳ぐ,スケートをする,ダンスをする,スキーをする,泳ぐ,
単語の意味,4択,snowy,雪の,寒い,くもりの,晴れの,雪の,
単語の意味,4択,name,名前,生徒,友だち,ノート,名前,
単語の意味,4択,volleyball,バレーボール,野球,サッカー,テニス,バレーボール,
単語の意味,4択,ten,10,100,14,4,10,
単語の意味,4択,grandfather,祖父,おじ,兄・弟,姉・妹,祖父,
単語の意味,4択,turtle,カメ,カエル,魚,サル,カメ,
単語の意味,4択,ninth,9日,25日,15日,27日,9日,
単語の意味,4択,P.E.,体育,理科,美術,音楽,体育,
単語の意味,4択,February,2月,1月,6月,9月,2月,
単語の意味,4択,ninety,90,15,60,2,90,
単語の意味,4択,fifth,5日,23日,12日,2日,5日,
単語の意味,4択,four,4,13,17,16,4,
単語の意味,4択,first,1日,11日,21日,31日,1日,
単語の意味,4択,cold,寒い,くもりの,雨の,雪の,寒い,
単語の意味,4択,fifteenth,15日,8日,20日,18日,15日,
単語の意味,4択,library,図書館,神社,動物園,寺,図書館,
単語の意味,4択,mother,母,おば,父,おじ,母,
単語の意味,4択,salty,塩辛い,苦い,甘い,とてもおいしい,塩辛い,
単語の意味,4択,eight,8,80,4,13,8,
単語の意味,4択,dog,イヌ,キリン,トラ,キツネ,イヌ,
単語の意味,4択,seventy,70,1000,11,18,70,
単語の意味,4択,grandmother,祖母,祖父,おば,おじ,祖母,
スペリング,スペリング,「鳥」を英語で,,,,,bird,
スペリング,スペリング,「20日」を英語で（日付）,,,,,twentieth,
スペリング,スペリング,「ウシ」を英語で,,,,,cow,
スペリング,スペリング,「1月」を英語で,,,,,January,
スペリング,スペリング,「23日」を英語で（日付）,,,,,twenty-third,
スペリング,スペリング,「6日」を英語で（日付）,,,,,sixth,
スペリング,スペリング,「興味深い」を英語で,,,,,interesting,
スペリング,スペリング,「晴れの」を英語で,,,,,sunny,
スペリング,スペリング,「親切な」を英語で,,,,,kind,
スペリング,スペリング,「おば」を英語で,,,,,aunt,
スペリング,スペリング,「2」を英語で（数）,,,,,two,
スペリング,スペリング,「美術」を英語で,,,,,art,
スペリング,スペリング,「19」を英語で（数）,,,,,nineteen,
スペリング,スペリング,「7月」を英語で,,,,,July,
スペリング,スペリング,「コアラ」を英語で,,,,,koala,
スペリング,スペリング,「15日」を英語で（日付）,,,,,fifteenth,
スペリング,スペリング,「祖母」を英語で,,,,,grandmother,
スペリング,スペリング,「暖かい」を英語で,,,,,warm,
スペリング,スペリング,「90」を英語で（数）,,,,,ninety,
スペリング,スペリング,「イルカ」を英語で,,,,,dolphin,
スペリング,スペリング,「サッカー」を英語で,,,,,soccer,
スペリング,スペリング,「甘い」を英語で,,,,,sweet,
スペリング,スペリング,「おかしい」を英語で,,,,,funny,
スペリング,スペリング,「すっぱい」を英語で,,,,,sour,
スペリング,スペリング,「おじ」を英語で,,,,,uncle,
スペリング,スペリング,「5月」を英語で,,,,,May,
スペリング,スペリング,「スイカ」を英語で,,,,,watermelon,
スペリング,スペリング,「オムレツ」を英語で,,,,,omelet,
スペリング,スペリング,「カエル」を英語で,,,,,frog,
スペリング,スペリング,「11」を英語で（数）,,,,,eleven,
スペリング,スペリング,「3月」を英語で,,,,,March,
スペリング,スペリング,「ノート」を英語で,,,,,notebook,
スペリング,スペリング,「土曜日」を英語で,,,,,Saturday,
スペリング,スペリング,「病院」を英語で,,,,,hospital,
スペリング,スペリング,「学校」を英語で,,,,,school,
スペリング,スペリング,「親」を英語で,,,,,parent,
スペリング,スペリング,「数学」を英語で,,,,,math,
スペリング,スペリング,「雪の」を英語で,,,,,snowy,
スペリング,スペリング,「かわいい」を英語で,,,,,cute,
スペリング,スペリング,「父」を英語で,,,,,father,
スペリング,スペリング,「リンゴ」を英語で,,,,,apple,
スペリング,スペリング,「友だち」を英語で,,,,,friend,
スペリング,スペリング,「木曜日」を英語で,,,,,Thursday,
スペリング,スペリング,「15」を英語で（数）,,,,,fifteen,
スペリング,スペリング,「ウマ」を英語で,,,,,horse,
スペリング,スペリング,「オレンジ」を英語で,,,,,orange,
スペリング,スペリング,「フルート」を英語で,,,,,flute,
スペリング,スペリング,「バスケットボール」を英語で,,,,,basketball,
スペリング,スペリング,「ホットケーキ」を英語で,,,,,pancake,
スペリング,スペリング,「姉・妹」を英語で,,,,,sister,
スペリング,スペリング,「名前」を英語で,,,,,name,
スペリング,スペリング,「7日」を英語で（日付）,,,,,seventh,
スペリング,スペリング,「11月」を英語で,,,,,November,
スペリング,スペリング,「10月」を英語で,,,,,October,
スペリング,スペリング,「29日」を英語で（日付）,,,,,twenty-ninth,
スペリング,スペリング,「ピザ」を英語で,,,,,pizza,
スペリング,スペリング,「60」を英語で（数）,,,,,sixty,
スペリング,スペリング,「寒い」を英語で,,,,,cold,
スペリング,スペリング,「先生」を英語で,,,,,teacher,
スペリング,スペリング,「日曜日」を英語で,,,,,Sunday,
スペリング,スペリング,「30日」を英語で（日付）,,,,,thirtieth,
スペリング,スペリング,「30」を英語で（数）,,,,,thirty,
スペリング,スペリング,「キツネ」を英語で,,,,,fox,
スペリング,スペリング,「理科」を英語で,,,,,science,
スペリング,スペリング,「100」を英語で（数）,,,,,hundred,
スペリング,スペリング,「ヘビ」を英語で,,,,,snake,
スペリング,スペリング,「くもりの」を英語で,,,,,cloudy,
スペリング,スペリング,「4日」を英語で（日付）,,,,,fourth,
スペリング,スペリング,「兄・弟」を英語で,,,,,brother,
スペリング,スペリング,「魚」を英語で,,,,,fish,
スペリング,スペリング,「トラ」を英語で,,,,,tiger,
スペリング,スペリング,「苦い」を英語で,,,,,bitter,
スペリング,スペリング,「雨の」を英語で,,,,,rainy,
スペリング,スペリング,「18日」を英語で（日付）,,,,,eighteenth,
スペリング,スペリング,「メロン」を英語で,,,,,melon,
スペリング,スペリング,「10」を英語で（数）,,,,,ten,
スペリング,スペリング,「ドラム」を英語で,,,,,drums,
スペリング,スペリング,「17」を英語で（数）,,,,,seventeen,
スペリング,スペリング,「城」を英語で,,,,,castle,
スペリング,スペリング,「70」を英語で（数）,,,,,seventy,
スペリング,スペリング,「サラダ」を英語で,,,,,salad,
スペリング,スペリング,「夏」を英語で,,,,,summer,
スペリング,スペリング,「9」を英語で（数）,,,,,nine,
スペリング,スペリング,「40」を英語で（数）,,,,,forty,
スペリング,スペリング,「金曜日」を英語で,,,,,Friday,
スペリング,スペリング,「塩辛い」を英語で,,,,,salty,
スペリング,スペリング,「3日」を英語で（日付）,,,,,third,
スペリング,スペリング,「9月」を英語で,,,,,September,
スペリング,スペリング,「とてもおいしい」を英語で,,,,,delicious,
スペリング,スペリング,「バイオリン」を英語で,,,,,violin,
スペリング,スペリング,「テニス」を英語で,,,,,tennis,
スペリング,スペリング,「神社」を英語で,,,,,shrine,
スペリング,スペリング,「ペン」を英語で,,,,,pen,
スペリング,スペリング,「ゾウ」を英語で,,,,,elephant,
スペリング,スペリング,「キリン」を英語で,,,,,giraffe,
スペリング,スペリング,「ジャム」を英語で,,,,,jam,
スペリング,スペリング,「20」を英語で（数）,,,,,twenty,
スペリング,スペリング,「わくわくする」を英語で,,,,,exciting,
スペリング,スペリング,「動物園」を英語で,,,,,zoo,
スペリング,スペリング,「12日」を英語で（日付）,,,,,twelfth,
スペリング,スペリング,「ネコ」を英語で,,,,,cat,
スペリング,スペリング,「いとこ」を英語で,,,,,cousin,
スペリング,スペリング,「危険な」を英語で,,,,,dangerous,
スペリング,スペリング,「ライオン」を英語で,,,,,lion,
スペリング,スペリング,「クジラ」を英語で,,,,,whale,
スペリング,スペリング,「21」を英語で（数）,,,,,twenty-one,
スペリング,スペリング,「祖父」を英語で,,,,,grandfather,
スペリング,スペリング,「生徒」を英語で,,,,,student,
スペリング,スペリング,「ブドウ」を英語で,,,,,grapes,
スペリング,スペリング,「ウサギ」を英語で,,,,,rabbit,
スペリング,スペリング,「賢明な」を英語で,,,,,wise,
スペリング,スペリング,「野球」を英語で,,,,,baseball,
スペリング,スペリング,「パンダ」を英語で,,,,,panda,
スペリング,スペリング,「家」を英語で,,,,,house,
スペリング,スペリング,「2月」を英語で,,,,,February,
スペリング,スペリング,「寺」を英語で,,,,,temple,
スペリング,スペリング,「体育館」を英語で,,,,,gym,
スペリング,スペリング,「18」を英語で（数）,,,,,eighteen,
スペリング,スペリング,「8」を英語で（数）,,,,,eight,
スペリング,スペリング,「4月」を英語で,,,,,April,
スペリング,スペリング,「イチゴ」を英語で,,,,,strawberry,
スペリング,スペリング,「厳しい」を英語で,,,,,strict,
スペリング,スペリング,「14」を英語で（数）,,,,,fourteen,
スペリング,スペリング,「ヒツジ」を英語で,,,,,sheep,
スペリング,スペリング,「強い」を英語で,,,,,strong,
スペリング,スペリング,「16日」を英語で（日付）,,,,,sixteenth,
スペリング,スペリング,「ブタ」を英語で,,,,,pig,
スペリング,スペリング,「ギター」を英語で,,,,,guitar,
スペリング,スペリング,「スーパーマーケット」を英語で,,,,,supermarket,
スペリング,スペリング,「水曜日」を英語で,,,,,Wednesday,
スペリング,スペリング,「バレーボール」を英語で,,,,,volleyball,
スペリング,スペリング,「マンゴー」を英語で,,,,,mango,
スペリング,スペリング,「7」を英語で（数）,,,,,seven,
スペリング,スペリング,「5日」を英語で（日付）,,,,,fifth,
スペリング,スペリング,「5」を英語で（数）,,,,,five,
スペリング,スペリング,「冬」を英語で,,,,,winter,
スペリング,スペリング,「レモン」を英語で,,,,,lemon,
スペリング,スペリング,「12月」を英語で,,,,,December,
スペリング,スペリング,「スケートをする」を英語で,,,,,skate,
スペリング,スペリング,「14日」を英語で（日付）,,,,,fourteenth,
スペリング,スペリング,「バナナ」を英語で,,,,,banana,
スペリング,スペリング,「ケーキ」を英語で,,,,,cake,
スペリング,スペリング,「4」を英語で（数）,,,,,four,
スペリング,スペリング,「1日」を英語で（日付）,,,,,first,
スペリング,スペリング,「25日」を英語で（日付）,,,,,twenty-fifth,
スペリング,スペリング,「イヌ」を英語で,,,,,dog,
スペリング,スペリング,「17日」を英語で（日付）,,,,,seventeenth,
スペリング,スペリング,「かしこい」を英語で,,,,,clever,
スペリング,スペリング,「13」を英語で（数）,,,,,thirteen,
スペリング,スペリング,「国語」を英語で,,,,,Japanese,
スペリング,スペリング,「26日」を英語で（日付）,,,,,twenty-sixth,
スペリング,スペリング,「クッキー」を英語で,,,,,cookies,
スペリング,スペリング,「9日」を英語で（日付）,,,,,ninth,
スペリング,スペリング,「31日」を英語で（日付）,,,,,thirty-first,
スペリング,スペリング,「モモ」を英語で,,,,,peach,
スペリング,スペリング,「11日」を英語で（日付）,,,,,eleventh,
スペリング,スペリング,「1000」を英語で（数）,,,,,thousand,
スペリング,スペリング,「10日」を英語で（日付）,,,,,tenth,
スペリング,スペリング,「図書館」を英語で,,,,,library,
スペリング,スペリング,「本屋」を英語で,,,,,bookstore,
スペリング,スペリング,「ダンスをする」を英語で,,,,,dance,
スペリング,スペリング,「母」を英語で,,,,,mother,
スペリング,スペリング,「スキーをする」を英語で,,,,,ski,
スペリング,スペリング,「勇敢な」を英語で,,,,,brave,
スペリング,スペリング,「赤ちゃん」を英語で,,,,,baby,
スペリング,スペリング,「8月」を英語で,,,,,August,
スペリング,スペリング,「カメ」を英語で,,,,,turtle,
スペリング,スペリング,「すばらしい」を英語で,,,,,wonderful,
スペリング,スペリング,「月曜日」を英語で,,,,,Monday,
スペリング,スペリング,「英語」を英語で,,,,,English,
スペリング,スペリング,「火曜日」を英語で,,,,,Tuesday,
スペリング,スペリング,「バドミントン」を英語で,,,,,badminton,
スペリング,スペリング,「3」を英語で（数）,,,,,three,
スペリング,スペリング,「泳ぐ」を英語で,,,,,swim,
スペリング,スペリング,「12」を英語で（数）,,,,,twelve,
スペリング,スペリング,「ピアノ」を英語で,,,,,piano,
スペリング,スペリング,「かばん」を英語で,,,,,bag,
スペリング,スペリング,「本」を英語で,,,,,book,
スペリング,スペリング,「1」を英語で（数）,,,,,one,
スペリング,スペリング,「家族」を英語で,,,,,family,
スペリング,スペリング,「6」を英語で（数）,,,,,six,
スペリング,スペリング,「美しい」を英語で,,,,,beautiful,
スペリング,スペリング,「13日」を英語で（日付）,,,,,thirteenth,
スペリング,スペリング,「おだやかな」を英語で,,,,,gentle,
スペリング,スペリング,「16」を英語で（数）,,,,,sixteen,
スペリング,スペリング,「音楽」を英語で,,,,,music,
スペリング,スペリング,「サル」を英語で,,,,,monkey,
スペリング,スペリング,「19日」を英語で（日付）,,,,,nineteenth,
スペリング,スペリング,「人なつっこい」を英語で,,,,,friendly,
スペリング,スペリング,「6月」を英語で,,,,,June,
スペリング,スペリング,「80」を英語で（数）,,,,,eighty,
スペリング,スペリング,「キウイ」を英語で,,,,,kiwi,
スペリング,スペリング,「50」を英語で（数）,,,,,fifty,
スペリング,スペリング,「21日」を英語で（日付）,,,,,twenty-first,
スペリング,スペリング,「カンガルー」を英語で,,,,,kangaroo,
スペリング,スペリング,「春」を英語で,,,,,spring,
スペリング,スペリング,「パイナップル」を英語で,,,,,pineapple,
スペリング,スペリング,「2日」を英語で（日付）,,,,,second,
スペリング,スペリング,「8日」を英語で（日付）,,,,,eighth,
スペリング,スペリング,「駅」を英語で,,,,,station,
文法,二択,We ( ) baseball.,play,plays,,,play,主語が We なので s はつけない。
文法,二択,We ( ) water.,need,needs,,,need,主語が We なので s はつけない。
文法,二択,They ( ) science.,like,likes,,,like,主語が They なので s はつけない。
文法,二択,We ( ) tennis.,play,plays,,,play,主語が We なので s はつけない。
文法,二択,You and I ( ) students.,is,are,,,are,複数の主語なので are。
文法,二択,( ) he your friend?,Is,Do,,,Is,be 動詞の疑問文は Is。
文法,二択,I have three ( ).,cat,cats,,,cats,2つ以上は複数形。
文法,二択,I ( ) water.,need,needs,,,need,主語が I なので s はつけない。
文法,二択,This is ( ) book.（あなたの）,your,you,,,your,「あなたの」は your。
文法,二択,I ( ) science.,like,likes,,,like,主語が I なので s はつけない。
文法,二択,My teacher ( ) my friend.,is,are,,,is,主語が単数なので is。
文法,二択,This is ( ) cat.（私の）,my,we,,,my,「私の」は my。
文法,二択,( ) you have a dog?,Do,Are,,,Do,一般動詞の疑問文は Do。
文法,二択,We ( ) a bike.,have,has,,,have,主語が We なので s はつけない。
文法,二択,Their teacher ( ) new.,is,are,,,is,主語が単数なので is。
文法,二択,We ( ) apples.,like,likes,,,like,主語が We なので s はつけない。
文法,二択,I ( ) eat natto.,don't,aren't,,,don't,一般動詞の否定は do not。
文法,二択,I ( ) strong.,am,are,,,am,主語が I のとき be 動詞は am。
文法,二択,They ( ) tennis.,play,plays,,,play,主語が They なので s はつけない。
文法,二択,This is ( ) cat.（あなたの）,your,my,,,your,「あなたの」は your。
文法,二択,You ( ) math.,study,studies,,,study,主語が You なので s はつけない。
文法,二択,This is ( ) bike.（あなたの）,your,my,,,your,「あなたの」は your。
文法,二択,You ( ) bananas.,eat,eats,,,eat,主語が You なので s はつけない。
文法,二択,( ) you a student?,Are,Do,,,Are,be 動詞の疑問文は Are。
文法,二択,( ) you have a pen?,Do,Are,,,Do,一般動詞の疑問文は Do。
文法,二択,This is ( ) bag.（あなたの）,your,my,,,your,「あなたの」は your。
文法,二択,I ( ) a pen.,have,has,,,have,主語が I なので s はつけない。
文法,二択,They ( ) baseball.,play,plays,,,play,主語が They なので s はつけない。
文法,二択,You ( ) a teacher.,am,are,,,are,主語が you のとき be 動詞は are。
文法,二択,I ( ) math.,study,studies,,,study,主語が I なので s はつけない。
文法,二択,My mother ( ) a student.,is,are,,,is,主語が単数なので is。
文法,二択,We ( ) Japanese.,study,studies,,,study,主語が We なので s はつけない。
文法,二択,They ( ) the guitar.,play,plays,,,play,主語が They なので s はつけない。
文法,二択,She ( ) a student.,is,are,,,is,主語が単数なので is。
